1928	3550
249	3546
2020	3540
231	3537
1919	3536
14.95	3532
-700	3521
0.02	3500
0.001	3498
1915	3483
265	3479
30.0	3465
303	3451
1925	3441
1400	3430
333	3419
1912	3418
227	3418
311	3411
410	3408
375	3400
380	3394
1931	3380
430	3371
285	3356
273	3354
7.2	3350
247	3334
242	3293
0.75	3290
251	3289
1927	3279
315	3271
425	3267
440	3266
1923	3261
40.0	3251
295	3246
252	3243
5.4	3228
262	3218
263	3211
1922	3207
253	3206
353	3201
237	3201
1.25	3195
720	3192
244	3188
1916	3181
1926	3180
768	3173
254	3171
6.2	3171
370	3170
1924	3161
248	3139
236	3138
279	3132
4.9	3128
241	3128
238	3128
239	3109
308	3093
9000	3082
640	3080
246	3075
272	3056
1890	3051
1908	3049
288	3048
1921	3047
312	3046
14.99	3041
281	3039
8.1	3033
307	3019
306	3017
405	3002
888	2993
277	2992
8.3	2991
1700	2989
321	2985
1860	2979
510	2945
1905	2945
269	2917
266	2915
8000	2914
399	2905
3500	2903
268	2900
323	2900
316	2891
1909	2885
271	2876
276	2872
258	2866
499	2863
10.1	2863
278	2862
261	2860
1870	2852
1906	2852
10.2	2848
29.99	2843
5.7	2834
5.6	2832
274	2827
460	2824
1888	2823
317	2814
520	2807
701	2804
282	2799
267	2798
289	2797
388	2795
5.8	2793
309	2791
7.4	2789
385	2786
9.1	2782
313	2781
1865	2781
24.95	2768
284	2766
259	2762
1001	2761
1903	2758
283	2736
257	2734
1907	2734
75.0	2727
-400	2718
287	2716
3.99	2700
345	2693
1904	2692
351	2692
293	2692
403	2687
540	2640
324	2635
292	2635
286	2628
-800	2628
318	2624
314	2621
415	2613
-12	2609
9.3	2606
35.0	2604
322	2596
335	2585
352	2582
390	2578
319	2569
999	2563
39.95	2557
950	2557
0.15	2555
2015	2552
1861	2544
530	2541
2013	2537
10.3	2536
-20	2530
45.0	2520
328	2519
355	2514
294	2506
11.5	2506
17.5	2499
291	2488
336	2487
402	2487
349	2483
296	2480
-11	2477
1902	2472
620	2467
1863	2458
490	2453
2.99	2451
359	2448
7000	2442
358	2436
1898	2424
5.9	2421
525	2420
610	2415
395	2412
332	2411
1862	2409
6.4	2407
0.03	2405
49.99	2390
297	2387
914	2383
6.8	2376
1899	2367
1864	2367
408	2365
55.0	2364
680	2361
2600	2355
331	2348
298	2345
343	2341
1896	2332
326	2331
6.6	2330
1895	2324
356	2317
327	2313
1881	2309
341	2292
1840	2285
601	2278
8.2	2275
11.0	2274
505	2271
451	2270
329	2267
407	2263
406	2261
560	2260
412	2251
39.99	2251
357	2250
7.99	2249
99.9	2248
470	2247
12.99	2246
6.7	2241
