FilterTextHtml.mime_types	applicationapplication/pdf	43
FilterTextHtml.mime_types	application/application/rss+xml	5
FilterTextHtml.mime_types	application/application/vnd.ms-powerpoint	47
FilterTextHtml.mime_types	application/application/x-excel	2
FilterTextHtml.mime_types	application/application/xml	1
FilterTextHtml.mime_types	application-asp/unkown	18
FilterTextHtml.mime_types	application/atom,	2
FilterTextHtml.mime_types	application/atom	940
FilterTextHtml.mime_types	application/atomserv+xml	82
FilterTextHtml.mime_types	application/atomsvc+xml	415
FilterTextHtml.mime_types	application/atom+xml	2948954
FilterTextHtml.mime_types	application/atom+xml,	3
FilterTextHtml.mime_types	application/baz+xml	1
FilterTextHtml.mime_types	applicationb/rss+xml	4
FilterTextHtml.mime_types	application/calendar+xml	5
FilterTextHtml.mime_types	application/cation/pdf	41
FilterTextHtml.mime_types	application/ccip+xml	11038
FilterTextHtml.mime_types	application/ce-html+xml	1
FilterTextHtml.mime_types	application/cms/galeria/repositorio/materiais/1.pdf	1
FilterTextHtml.mime_types	application/cms/galeria/repositorio/materiais/2.pdf	1
FilterTextHtml.mime_types	application/csv.ms-excel	1
FilterTextHtml.mime_types	application/davmount+xml	108
FilterTextHtml.mime_types	application/ddoc	1
FilterTextHtml.mime_types	application/doc'	1
FilterTextHtml.mime_types	application/doc	2183
FilterTextHtml.mime_types	application/.doc	37
FilterTextHtml.mime_types	application/docbook+xml	7
FilterTextHtml.mime_types	application/doc,pdf	7
FilterTextHtml.mime_types	application-download	137
FilterTextHtml.mime_types	applicatione/msword	34
FilterTextHtml.mime_types	application/especiales-bohler.pdf	1
FilterTextHtml.mime_types	application/excel	3213
FilterTextHtml.mime_types	application/gdb+xml	11
FilterTextHtml.mime_types	application/georss+xml	27
FilterTextHtml.mime_types	application/gnutar	2
FilterTextHtml.mime_types	application/google-earth.kml+xml	9
FilterTextHtml.mime_types	application/gpx-xml	23
FilterTextHtml.mime_types	application/gpx+xml	234
FilterTextHtml.mime_types	application/gtar	1
FilterTextHtml.mime_types	application/gzipped-tar	3
FilterTextHtml.mime_types	application/html+dhtml+xml	20
FilterTextHtml.mime_types	application/html+xml	7
FilterTextHtml.mime_types	application/inoxidables-y-aluminio-thyssen.pdf	1
FilterTextHtml.mime_types	application/internalisierung-endg.pdf	1
FilterTextHtml.mime_types	application/javascript'	17
FilterTextHtml.mime_types	application/javascript,	2
FilterTextHtml.mime_types	application/javascript	7710511
FilterTextHtml.mime_types	**/application/javascript	8
FilterTextHtml.mime_types	application/javascriptapplication/x-javascript	114
FilterTextHtml.mime_types	application/keyhole	2451
FilterTextHtml.mime_types	application/kml	522
FilterTextHtml.mime_types	application/kml+xml	289
FilterTextHtml.mime_types	application/marc+xml	18
FilterTextHtml.mime_types	application/mathml+xml	114
FilterTextHtml.mime_types	application/mbcrs+xml	13
FilterTextHtml.mime_types	application/metalink+xml	8538
FilterTextHtml.mime_types	application/msdoc	7
FilterTextHtml.mime_types	application/msexcel	2965
FilterTextHtml.mime_types	application/ms-excel	877
